,classifier,dataset,precision,recall,accuracy,f1
0,random_forest,unchanged,0.89093387866394,0.9841867469879518,0.8856240126382307,0.935241502683363
0,decision_tree,unchanged,0.8874872144561882,0.9800451807228916,0.8789889415481833,0.9314725353372696
0,logistic_regression,unchanged,0.8906410695920466,0.9781626506024096,0.8808846761453396,0.9323524134218553
0,lstm,unchanged,0.9222873900293255,0.947289156626506,0.888783570300158,0.9346210995542347
0,random_forest,undersampled,0.75,0.8,0.7680722891566265,0.7741935483870969
0,decision_tree,undersampled,0.7590618336886994,0.7191919191919192,0.7469879518072289,0.7385892116182573
0,logistic_regression,undersampled,0.7342908438061041,0.8262626262626263,0.7650602409638554,0.7775665399239544
0,lstm,undersampled,0.8127753303964758,0.7454545454545455,0.7881526104417671,0.7776606954689146
0,random_forest,oversampled,0.8868140243902439,0.8577220788794693,0.8719535058117736,0.8720254824807944
0,decision_tree,oversampled,0.8083456425406204,0.8068558791006266,0.8044619422572179,0.8076000737871242
0,logistic_regression,oversampled,0.762167759751467,0.8138591964614817,0.7761529808773904,0.7871657754010696
